CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"011904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"012901001",-1,.,.,-1,.,-1,.,.,.,18.4,23.1,17.1,63.9,-1,.,-1,6.5,-1,7.7,23.8,22.2,25,12.1,-1,27.3,.,.,-1,-1,12.2,-1,10,8.7,0,21.6,30,16.4
"012901042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"012901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013801101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901001",-1,.,-1,40,.,-1,.,.,.,25.1,51.1,9.8,47.8,30,.,0,19.5,36.4,4.7,27.2,50,6.9,20.9,30,5.7,-1,.,-1,0,23.1,51.7,12.8,14.1,9.9,42.6,68,27.5
"013901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013903001",-1,.,.,.,.,.,-1,.,.,12.7,.,.,62.1,-1,.,.,7.6,.,.,18.3,.,.,8.4,.,.,.,.,.,-1,7.6,.,.,4.1,3.7,18.3,.,.
"013903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013905001",-1,.,-1,.,.,.,.,.,.,30.9,7.5,31,52.4,-1,.,-1,22.7,6.7,21.1,33.6,5,32.3,21.7,6.7,21.1,-1,.,.,-1,28.1,10,29.9,9.5,3.1,47.3,8,47.2
"013905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014801001",14.3,.,.,-1,.,.,-1,.,.,5.1,.,.,34.8,5.3,.,.,8.1,.,.,3.8,.,.,3.9,.,.,14.3,.,.,.,6.5,.,.,5.3,1.5,2.9,.,.
"014802001",-1,.,.,-1,.,.,.,.,.,12.6,.,.,16.3,14,.,.,18.5,.,.,11.1,.,.,14.3,.,.,-1,.,.,.,14,.,.,14.3,22.2,13,.,.
"014803002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014803101",-1,.,.,.,.,.,.,.,.,21.8,.,.,-1,36.4,.,.,35.7,.,.,26.7,.,.,12.5,.,.,-1,.,.,.,16,.,.,20.6,12.5,21.2,.,.
"014804002",.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,-1,-1,-1,.,.
"014804003",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014804004",.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,0,-1,0,.,.
"014804005",-1,.,.,.,.,.,.,.,.,3.6,.,.,27.3,-1,.,.,3.6,.,.,1.8,.,.,0,.,.,-1,.,.,.,5.5,.,.,4.9,-1,4.5,.,.
"014804006",-1,-1,-1,-1,.,.,.,.,.,86.8,18.2,47.8,.,-1,-1,-1,71.4,-1,12.5,87.1,28.6,50,80,-1,40,.,.,.,-1,86.4,0,44.4,80,-1,88.2,17.6,45.9
"014901001",14.3,.,-1,-1,.,.,.,.,.,32.6,48.1,18,56.4,12.5,.,-1,20.2,80,13.5,39.5,47.8,30.7,18.5,-1,12.1,-1,.,.,-1,26.4,-1,5.3,0,0,37.5,47.8,20.5
"014901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014902001",-1,.,.,.,.,.,.,.,.,27.6,.,.,40,16.7,.,.,23.4,.,.,36.4,.,.,30.8,.,.,-1,.,.,0,20.8,.,.,21.8,6.3,18.8,.,.
"014903001",29.4,-1,9.4,44.8,42.9,50,-1,.,-1,27.5,69.8,16.6,58.3,13.6,-1,3.4,15.7,65.6,7.6,29.5,64.6,18.1,20.3,71.4,10.5,35,-1,22.2,5.7,25.8,75.3,15.2,14,4.3,32.6,70.5,21
"014903005",-1,.,.,-1,.,.,.,.,.,7,.,.,30.6,15.4,.,.,6.8,.,.,10.5,.,.,3.4,.,.,-1,.,.,-1,3.5,.,.,11.1,0,7.6,.,.
"014903042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903114",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014903116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014905001",-1,.,.,.,.,.,.,.,.,14,.,.,61.3,0,.,.,7.4,.,.,21.2,.,.,11.1,.,.,-1,.,.,-1,7.5,.,.,3.9,0,17.1,.,.
"014905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906001",37.6,76.9,39.4,42.6,54.5,45.8,15,.,0,29.1,44.7,27.1,58.7,27.9,27.5,22.2,25,33.3,21.8,33.4,34.3,27,27.4,35.6,29.2,37.5,-1,-1,11.1,24.9,55.2,27,17.5,13,29.4,62.7,29.1
"014906002",26.9,18.2,23.4,41.8,29.2,38.1,16,-1,16.7,27,27.6,17.9,63.5,23.9,24,11,20.9,28.8,14.2,30,25.2,19.2,26.1,32.8,22.4,20,.,-1,16.9,23.9,30.4,16.6,18.3,12.6,30.8,27.1,19.8
"014906004",0,.,.,-1,.,.,-1,.,.,0,.,.,-1,0,.,.,0,.,.,0,.,.,0,.,.,-1,.,.,-1,0,.,.,0,0,0,.,.
"014906006",7.1,.,.,0,.,.,0,.,.,5.3,.,.,30.3,3.8,.,.,5.9,.,.,5.5,.,.,4.8,.,.,-1,.,.,10.5,5.2,.,.,5.5,2.3,9.1,.,.
"014906007",33.6,38.1,39.6,40.6,63.2,38.8,28.6,-1,14.3,29.5,56.1,25.1,68.2,23.2,45.5,16,17.5,50,14.8,30.9,58.1,26.4,24.6,61.7,21.4,9.5,-1,-1,10.4,28,53.8,23.7,18.3,7.5,35.6,60.4,30.9
"014906008",14.8,-1,14.3,20.3,66.7,24.3,12.5,-1,7.7,21.8,32.4,22.1,54.8,21.5,15.5,19.5,18,24.4,18.6,26.5,24,26.8,23,46.2,29.8,16.7,-1,28.6,14.3,17.3,44.8,17.5,14.1,5,23.5,40,20.7
"014906009",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906022",.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.
"014906025",.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,-1,-1,.,.,.
"014906026",.,.,.,.,.,.,.,.,.,0,.,.,-1,0,.,.,0,.,.,-1,.,.,.,.,.,.,.,.,.,0,.,.,0,-1,0,.,.
"014906042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906045",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906046",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906048",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906049",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906050",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906051",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906052",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906053",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906100",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906113",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906117",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906119",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906122",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906123",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906124",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906125",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906127",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906128",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906129",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906130",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906131",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906132",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906133",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906135",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906136",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906137",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014906138",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014907001",-1,.,.,-1,.,.,.,.,.,23.5,.,.,74.6,-1,.,.,12.3,.,.,29.9,.,.,13.5,.,.,-1,.,.,0,17.1,.,.,11.6,12.9,26.6,.,.
"014907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014907043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014907102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014908001",12.5,.,-1,62.5,-1,-1,-1,.,-1,25.7,59.3,26.9,62.1,-1,-1,-1,15.4,33.3,13.3,31,64.5,30.1,18.8,60,25,33.3,-1,-1,0,20.9,53.6,24.1,6.4,2.4,26.4,61.4,26
"014908041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014908042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014908101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909002",18.3,-1,12.5,63,61.5,59.1,-1,.,-1,27.4,57.1,25.7,60.9,13.4,40,10.8,16.2,53.2,12.5,28.8,52.7,26.6,21.9,50.8,23.9,7.7,-1,16.7,2,25.8,62.1,24.7,9.1,1.9,43.8,63,34.7
"014909005",-1,.,.,.,.,.,.,.,.,0,.,.,-1,0,.,.,0,.,.,0,.,.,0,.,.,.,.,.,-1,0,.,.,0,0,0,.,.
"014909008",-1,.,.,.,.,.,.,.,.,1.9,.,.,-1,2,.,.,0.9,.,.,4,.,.,0,.,.,.,.,.,0,0,.,.,1.8,0,5.2,.,.
"014909041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909114",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909117",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909118",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014909198",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014910001",0,.,-1,-1,.,.,-1,.,.,25.3,48.4,16.8,57.8,0,.,-1,13.6,33.3,8.7,31.4,58.3,26.4,14,-1,4.8,20,-1,-1,-1,20.1,14.3,7.5,11,2.4,30.3,46.4,20.7
"014910041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014910042",.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,-1,.,.
"014910101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014910103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015801001",-1,.,.,.,.,.,.,.,.,13.1,-1,1,19.2,-1,.,-1,23.2,.,0,17.2,-1,2.2,13,.,0,.,.,.,-1,9.3,.,0,15,9.1,-1,-1,-1
"015801002",.,.,.,-1,.,.,.,.,.,17.5,0,23.7,-1,-1,-1,-1,11.4,0,29.2,17.9,0,33.3,19.6,0,22.2,.,.,.,.,17.1,-1,11.8,16.7,11.1,14.3,.,-1
"015801003",.,.,.,.,.,.,.,.,.,5.4,.,.,-1,-1,.,.,7.1,.,.,4.4,.,.,5.9,.,.,.,.,.,-1,6.8,.,.,6.7,0,0,.,.
"015802001",-1,.,.,.,.,.,.,.,.,19.1,.,.,26.2,17.9,.,.,19.2,.,.,19.3,.,.,20.9,.,.,.,.,.,.,18.9,.,.,19.3,0,16.7,.,.
"015802004",.,.,.,.,.,.,.,.,.,.,.,.,33.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015803101",.,.,.,.,.,.,.,.,.,6.3,.,.,-1,0,.,.,3.3,.,.,0,.,.,4.5,.,.,.,.,.,-1,12.5,.,.,-1,0,20,.,.
"015805041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015805101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015805102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806001",-1,.,-1,.,.,.,.,.,.,3.8,-1,42.9,50,7.1,-1,-1,5.1,-1,40,0,-1,-1,2.6,-1,-1,.,.,.,0,6.9,-1,-1,5.6,8.3,.,.,.
"015806003",-1,.,.,.,.,.,.,.,.,64.3,4.7,39.4,57.1,60.5,0,36,63.3,3,44,60.5,5.3,35.8,67.3,6.1,44,.,.,.,40,68.5,4.2,42.9,71.9,42.9,45.5,-1,11.1
"015806041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015807001",-1,.,-1,-1,.,-1,-1,.,-1,1.8,0,5,22.2,0,-1,5.9,4.1,-1,7,2.3,-1,7.8,1.1,-1,4.7,.,.,.,-1,1.2,-1,2,0,0,5.7,-1,6.3
"015807002",-1,.,.,.,.,.,.,.,.,7.3,.,.,22.6,10,.,.,7.4,.,.,7.6,.,.,5.8,.,.,.,.,.,-1,6.8,.,.,6.4,0,10,.,.
"015807004",-1,.,-1,-1,.,.,.,.,.,5,-1,0.7,20.8,0,.,0,4.9,.,0,6,.,0,4.8,.,0,.,.,.,-1,2.7,-1,2.3,3.4,0,16.7,-1,16.7
"015807005",-1,.,-1,-1,.,-1,.,.,.,2.6,-1,3.4,.,-1,.,-1,0,.,0,0,.,0,4.5,.,0,.,.,.,-1,5.3,-1,8.3,0,-1,0,-1,16.7
"015808001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015808003",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015808005",-1,.,.,.,.,.,.,.,.,2.5,.,.,-1,0,.,.,0,.,.,4.3,.,.,0,.,.,0,.,.,-1,0,.,.,0,0,4.3,.,.
"015808006",.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,-1,-1,-1,.,.
"015808007",.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.
